participant.label,R1,end_app.1.player.rnumber_x,R2,end_app.1.player.rnumber_y,R3,end_app.1.player.rnumber
39b,1.0,497249.0,1.0,974915.0,1.0,303317.0
3ab,1.0,518920.0,1.0,739571.0,1.0,500617.0
3eh,1.0,413972.0,1.0,558861.0,1.0,310606.0
3fv,1.0,635512.0,1.0,159164.0,1.0,451811.0
3hc,1.0,459559.0,1.0,250039.0,1.0,242428.0
3md,1.0,343489.0,1.0,178137.0,1.0,586296.0
3x9,1.0,524547.0,1.0,641116.0,1.0,854775.0
3xt,1.0,987611.0,1.0,529971.0,1.0,495375.0
3ya,1.0,361247.0,1.0,421965.0,,
49w,1.0,325982.0,1.0,686345.0,1.0,891142.0
4dk,1.0,624135.0,1.0,317278.0,1.0,934245.0
4gw,1.0,146006.0,1.0,318461.0,1.0,996978.0
4kk,,,1.0,710176.0,,
4rp,,,1.0,722021.0,1.0,313287.0
4ww,1.0,872844.0,1.0,886450.0,1.0,335087.0
4x3,1.0,526679.0,,,,
4yf,1.0,644717.0,1.0,801128.0,1.0,636107.0
4yx,1.0,755844.0,1.0,101546.0,1.0,396475.0
9fs,1.0,467899.0,1.0,183109.0,1.0,127750.0
9fu,,,1.0,875117.0,1.0,546181.0
9fx,1.0,733656.0,1.0,931454.0,1.0,725328.0
9gt,,,1.0,575379.0,1.0,391116.0
9he,1.0,272434.0,1.0,963237.0,1.0,631310.0
9ra,1.0,433759.0,1.0,523850.0,1.0,582539.0
9rd,,,1.0,398728.0,1.0,623545.0
9ut,1.0,217395.0,1.0,404360.0,1.0,990474.0
9xy,1.0,974193.0,1.0,139685.0,1.0,174803.0
abc,1.0,740246.0,,,,
ack,1.0,596241.0,1.0,423691.0,1.0,242887.0
add,1.0,516788.0,1.0,440286.0,1.0,201346.0
afp,1.0,623784.0,1.0,290492.0,1.0,366247.0
ahn,1.0,996109.0,1.0,476632.0,1.0,888153.0
amu,1.0,304845.0,1.0,509305.0,1.0,759942.0
ara,1.0,754295.0,1.0,618634.0,1.0,974046.0
asv,1.0,352758.0,1.0,384907.0,1.0,474550.0
av4,1.0,718641.0,1.0,416076.0,1.0,465063.0
avr,1.0,448378.0,1.0,761844.0,,
b3p,1.0,882162.0,1.0,868506.0,1.0,178057.0
bey,1.0,753061.0,1.0,501549.0,1.0,487844.0
bga,1.0,180664.0,1.0,851448.0,1.0,690300.0
bgq,1.0,335376.0,1.0,747633.0,1.0,280807.0
bpy,1.0,824930.0,1.0,628241.0,1.0,210794.0
bqh,1.0,178246.0,1.0,729572.0,1.0,146758.0
bqr,1.0,393392.0,1.0,967185.0,1.0,522417.0
bs3,1.0,584925.0,1.0,516998.0,1.0,209122.0
buv,1.0,502971.0,1.0,368747.0,1.0,431655.0
bxg,,,1.0,841623.0,1.0,744901.0
byq,1.0,204821.0,1.0,397603.0,1.0,777070.0
c9f,1.0,201820.0,,,,
ceh,1.0,169284.0,1.0,253028.0,1.0,227829.0
cfw,1.0,629568.0,1.0,631576.0,1.0,932076.0
cnu,1.0,545337.0,1.0,896772.0,1.0,812154.0
cpk,1.0,763247.0,1.0,248846.0,1.0,738625.0
crq,1.0,401835.0,1.0,667772.0,1.0,345165.0
cyg,1.0,122513.0,1.0,152274.0,1.0,802218.0
cyw,1.0,748369.0,1.0,974804.0,1.0,945111.0
dbk,1.0,856199.0,1.0,557883.0,,
ddh,1.0,448620.0,1.0,145701.0,1.0,757210.0
dmd,1.0,805637.0,1.0,982933.0,1.0,545802.0
dnk,1.0,417858.0,1.0,660453.0,1.0,890064.0
dph,1.0,541736.0,1.0,541794.0,1.0,444155.0
dss,1.0,233538.0,1.0,340101.0,1.0,795726.0
duv,,,1.0,832694.0,,
dxh,1.0,402499.0,1.0,894498.0,1.0,256282.0
dxp,1.0,183116.0,1.0,693413.0,1.0,833384.0
dyb,1.0,903839.0,1.0,604902.0,1.0,936822.0
e3v,1.0,460671.0,1.0,225168.0,1.0,463681.0
e4u,1.0,175171.0,1.0,735289.0,1.0,133647.0
ebs,1.0,654973.0,1.0,514361.0,1.0,334451.0
ecd,1.0,673462.0,1.0,735036.0,1.0,411738.0
ech,1.0,675576.0,1.0,260268.0,1.0,976581.0
eh3,1.0,127374.0,1.0,282715.0,1.0,403809.0
ent,1.0,382210.0,1.0,636602.0,1.0,590669.0
evh,,,1.0,843370.0,,
evs,1.0,675023.0,1.0,269020.0,1.0,638234.0
fep,1.0,542527.0,1.0,522746.0,1.0,240207.0
ffe,1.0,443634.0,1.0,343727.0,1.0,502365.0
fqt,1.0,483538.0,1.0,897596.0,,
fv4,1.0,386541.0,1.0,896667.0,1.0,583456.0
fvy,1.0,492636.0,1.0,724846.0,1.0,621641.0
gb4,1.0,208544.0,1.0,716295.0,1.0,986927.0
gcu,1.0,963818.0,1.0,527136.0,1.0,626442.0
gdg,1.0,105803.0,1.0,472803.0,1.0,589048.0
gga,1.0,921829.0,1.0,189380.0,1.0,148165.0
gpt,1.0,265836.0,,,,
gth,1.0,310241.0,1.0,870321.0,1.0,592128.0
gye,1.0,656992.0,1.0,591914.0,1.0,369614.0
h9k,1.0,399510.0,1.0,212143.0,1.0,916289.0
h9x,1.0,794751.0,1.0,334251.0,1.0,445987.0
hch,1.0,372877.0,1.0,829872.0,1.0,776725.0
hhb,1.0,205344.0,1.0,122288.0,1.0,347012.0
hmt,1.0,688504.0,1.0,437638.0,1.0,895681.0
hmu,1.0,884440.0,1.0,769683.0,,
hn9,1.0,649720.0,1.0,165883.0,1.0,700862.0
hnc,,,1.0,752857.0,1.0,503805.0
hoc,1.0,414118.0,,,,
hof,1.0,749322.0,,,,
hqf,1.0,965712.0,1.0,461484.0,1.0,251337.0
hry,1.0,986067.0,1.0,276323.0,1.0,291667.0
hvs,1.0,640600.0,,,,
k4w,1.0,593935.0,1.0,845841.0,1.0,682521.0
k9w,1.0,765883.0,1.0,494765.0,1.0,776341.0
kmw,1.0,337235.0,1.0,608904.0,1.0,535669.0
knb,1.0,342424.0,1.0,439999.0,1.0,343786.0
knc,1.0,599499.0,1.0,166579.0,1.0,751653.0
kru,1.0,954475.0,1.0,503022.0,1.0,954511.0
kry,1.0,287005.0,1.0,912762.0,1.0,950843.0
ktb,1.0,528993.0,1.0,931332.0,1.0,582952.0
ktd,1.0,873934.0,1.0,161355.0,1.0,197391.0
kvq,1.0,768508.0,1.0,727742.0,,
kwc,1.0,664525.0,1.0,351515.0,1.0,355416.0
luk,1.0,813755.0,,,,
m49,1.0,531790.0,1.0,201723.0,1.0,727450.0
mag,,,,,1.0,657722.0
mbf,1.0,339137.0,1.0,879127.0,1.0,698531.0
mbv,1.0,629092.0,1.0,298470.0,1.0,611121.0
mcb,1.0,965900.0,1.0,104864.0,1.0,325970.0
mdx,1.0,700272.0,1.0,815289.0,1.0,439052.0
mhp,1.0,936501.0,1.0,932138.0,1.0,399666.0
mry,1.0,584646.0,1.0,399473.0,1.0,242626.0
mw9,1.0,868512.0,1.0,609498.0,1.0,342124.0
mwh,1.0,664201.0,1.0,919752.0,1.0,523689.0
nek,1.0,293441.0,,,,
ngr,1.0,633202.0,1.0,128145.0,1.0,567306.0
ngv,1.0,580128.0,1.0,555803.0,1.0,877637.0
np4,1.0,847432.0,1.0,590904.0,1.0,754894.0
